date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-12-13,CE,Bela Cruz,city,1302,24,True,32722,2302305,3978.97439,0.0184
2020-12-13,CE,Boa Viagem,city,1542,37,True,54577,2302404,2825.366,0.024
2020-12-13,CE,Brejo Santo,city,2616,26,True,49842,2302503,5248.58553,0.0099
2020-12-13,CE,Camocim,city,2469,81,True,63907,2302602,3863.42654,0.0328
2020-12-13,CE,Campos Sales,city,653,9,True,27470,2302701,2377.1387,0.0138
2020-12-13,CE,Canindé,city,2158,76,True,77244,2302800,2793.7445,0.0352
2020-12-13,CE,Capistrano,city,739,15,True,17786,2302909,4154.95333,0.0203
2020-12-13,CE,Caridade,city,353,17,True,22782,2303006,1549.46888,0.0482
2020-12-13,CE,Cariré,city,997,20,True,18459,2303105,5401.15933,0.0201
2020-12-13,CE,Caririaçu,city,806,19,True,26987,2303204,2986.62319,0.0236
2020-12-13,CE,Cariús,city,622,11,True,18699,2303303,3326.38109,0.0177
2020-12-13,CE,Carnaubal,city,701,6,True,17685,2303402,3963.81114,0.0086
2020-12-13,CE,Cascavel,city,1839,90,True,72232,2303501,2545.96301,0.0489
2020-12-13,CE,Catarina,city,321,6,True,20871,2303600,1538.01926,0.0187
2020-12-13,CE,Catunda,city,409,7,True,10376,2303659,3941.78874,0.0171
2020-12-13,CE,Caucaia,city,6919,366,True,365212,2303709,1894.51606,0.0529
2020-12-13,CE,Cedro,city,676,14,True,25585,2303808,2642.17315,0.0207
2020-12-13,CE,Chaval,city,819,14,True,13091,2303907,6256.20655,0.0171
2020-12-13,CE,Choró,city,354,7,True,13565,2303931,2609.65721,0.0198
2020-12-13,CE,Chorozinho,city,709,17,True,20274,2303956,3497.08987,0.024
2020-12-13,CE,Coreaú,city,1344,19,True,23239,2304004,5783.38138,0.0141
2020-12-13,CE,Crateús,city,6541,102,True,75159,2304103,8702.88322,0.0156
2020-12-13,CE,Crato,city,8136,103,True,133031,2304202,6115.86773,0.0127
2020-12-13,CE,Croatá,city,420,5,True,18133,2304236,2316.21905,0.0119
2020-12-13,CE,Cruz,city,1008,14,True,24977,2304251,4035.71286,0.0139
2020-12-13,CE,Deputado Irapuan Pinheiro,city,291,4,True,9662,2304269,3011.7988,0.0137
2020-12-13,CE,Ereré,city,400,7,True,7225,2304277,5536.33218,0.0175
2020-12-13,CE,Eusébio,city,2481,66,True,54337,2304285,4565.94954,0.0266
2020-12-13,CE,Farias Brito,city,1267,21,True,19389,2304301,6534.63304,0.0166
2020-12-13,CE,Forquilha,city,770,28,True,24452,2304350,3149.02666,0.0364
2020-12-13,CE,Fortaleza,city,74339,4050,True,2686612,2304400,2767.0166,0.0545
2020-12-13,CE,Fortim,city,180,3,True,16631,2304459,1082.31616,0.0167
2020-12-13,CE,Frecheirinha,city,1560,17,True,14134,2304509,11037.21523,0.0109
2020-12-13,CE,General Sampaio,city,151,6,True,7694,2304608,1962.56823,0.0397
2020-12-13,CE,Graça,city,627,15,True,14407,2304657,4352.05109,0.0239
2020-12-13,CE,Granja,city,1320,43,True,54962,2304707,2401.65933,0.0326
